,t,Sensor_1,Sensor_2,Sensor_3,Sensor_4
222,0.000111,0,0.00560315,0.0269168,-0.003661332
223,0.0001115,0,0.001067627,0.008710821,-0.005494501
224,0.000112,0,-0.00302138,-0.016395358,-0.003309044
225,0.0001125,0,-0.005022846,-0.026358364,0.000415598
226,0.000113,0,-0.004668855,-0.013495192,0.002146157
227,0.0001135,0,-0.002517609,0.008519787,0.001195688
228,0.000114,0,0.000499299,0.018960133,0.000255921
229,0.0001145,0,0.003256411,0.010797888,0.001729363
230,0.000115,0,0.004655305,-0.003761996,0.004187889
231,0.0001155,0,0.00401415,-0.008129649,0.003542568
232,0.000116,0,0.001416318,0.000271649,-0.001876527
233,0.0001165,0,-0.002186968,0.008357099,-0.00813491
234,0.000117,0,-0.005166083,0.00381451,-0.008765822
235,0.0001175,0,-0.005758996,-0.009508259,-0.001607627
236,0.000118,0,-0.00303768,-0.015283589,0.007894828
237,0.0001185,0,0.0020659,-0.003808683,0.011191349
238,0.000119,0,0.00663215,0.015163884,0.004974353
239,0.0001195,0,0.007311642,0.021391872,-0.005180857
240,0.00012,0,0.002962709,0.006225447,-0.009998242
241,0.0001205,0,-0.003778313,-0.016443726,-0.005485306
242,0.000121,0,-0.007936034,-0.023528567,0.003398037
243,0.0001215,0,-0.006109901,-0.007041603,0.008013624
244,0.000122,0,0.000355051,0.016802067,0.004602985
245,0.0001225,0,0.006113441,0.024058161,-0.002646179
246,0.000123,0,0.006310154,0.0079229,-0.0066066
247,0.0001235,0,0.000948679,-0.014434109,-0.004415125
248,0.000124,0,-0.004994746,-0.020263754,0.000628352
249,0.0001245,0,-0.006038055,-0.005011157,0.003585267
250,0.000125,0,-0.001203808,0.013879098,0.003074678
251,0.0001255,0,0.00508686,0.016530521,0.001527923
252,0.000126,0,0.007060344,0.001747433,0.001171371
253,0.0001265,0,0.002794675,-0.013044471,0.00115872
254,0.000127,0,-0.004157012,-0.011879236,-0.000730958
255,0.0001275,0,-0.008005336,0.002540617,-0.004280928
256,0.000128,0,-0.005701545,0.013124139,-0.006020836
257,0.0001285,0,0.000737331,0.00822679,-0.002909925
258,0.000129,0,0.006249698,-0.005680865,0.003570468
259,0.0001295,0,0.006971876,-0.012120898,0.007955458
260,0.00013,0,0.003045338,-0.003467071,0.006005183
261,0.0001305,0,-0.002020446,0.01073178,-0.000774624
262,0.000131,0,-0.004475965,0.014603184,-0.006298576
263,0.0001315,0,-0.00321998,0.003349347,-0.005814768
264,0.000132,0,-0.000251804,-0.011812713,-0.000514424
265,0.0001325,0,0.001399131,-0.015771205,0.003913552
266,0.000133,0,0.000394105,-0.005028021,0.003210327
267,0.0001335,0,-0.001817099,0.009573836,-0.001210269
268,0.000134,0,-0.002417025,0.014605314,-0.003972601
269,0.0001345,0,5.57E-05,0.007137763,-0.001473959
270,0.000135,0,0.004077368,-0.003939309,0.004258449
271,0.0001355,0,0.006172436,-0.008195496,0.007400746
272,0.000136,0,0.003879794,-0.00381424,0.0039879
273,0.0001365,0,-0.001878282,0.002448394,-0.004068807
274,0.000137,0,-0.007172728,0.003843726,-0.01037049
275,0.0001375,0,-0.008020423,0.000514225,-0.009518707
276,0.000138,0,-0.003529151,-0.002284228,-0.001747438
277,0.0001385,0,0.003325447,-0.001257802,0.007297419
278,0.000139,0,0.007892638,0.001373233,0.011222242
279,0.0001395,0,0.007241481,0.001592286,0.007837255
280,0.00014,0,0.002152557,-0.000738455,0.000335068
281,0.0001405,0,-0.003675516,-0.001658521,-0.005833698
282,0.000141,0,-0.006431043,0.001359296,-0.007306345
283,0.0001415,0,-0.00482464,0.005301347,-0.004722588
284,0.000142,0,-0.000664859,0.004627134,-0.001139569
285,0.0001425,0,0.002856992,-0.001756924,0.001042952
286,0.000143,0,0.003664217,-0.008082146,0.001760135
287,0.0001435,0,0.002074759,-0.007402173,0.002385379
288,0.000144,0,1.11E-07,0.000674879,0.003553127
289,0.0001445,0,-0.00098859,0.008992087,0.004061216
290,0.000145,0,-0.000879167,0.009891186,0.002092035
291,0.0001455,0,-0.000710391,0.002743028,-0.002348705
292,0.000146,0,-0.001086617,-0.005785089,-0.006399571
293,0.0001465,0,-0.001396102,-0.008450979,-0.00634981
294,0.000147,0,-0.000581773,-0.003940627,-0.00126999
295,0.0001475,0,0.001400982,0.002889275,0.005320519
296,0.000148,0,0.003100726,0.006246894,0.007964716
297,0.0001485,0,0.002757715,0.004494973,0.004114009
298,0.000149,0,0.00010959,0.000665287,-0.003247952
299,0.0001495,0,-0.002999727,-0.001226852,-0.008002968
300,0.00015,0,-0.003991593,-0.000145197,-0.006282474
301,0.0001505,0,-0.001811574,0.001422992,0.000217826
302,0.000151,0,0.001955709,0.000667776,0.006023657
303,0.0001515,0,0.004230827,-0.002036801,0.006825437
304,0.000152,0,0.00298732,-0.003335242,0.002850695
305,0.0001525,0,-0.00093707,-0.000926893,-0.002090188
306,0.000153,0,-0.004380738,0.003121803,-0.004348303
307,0.0001535,0,-0.004422989,0.00421691,-0.003240962
308,0.000154,0,-0.000868481,0.000758911,-0.000769306
309,0.0001545,0,0.003507109,-0.003287766,0.00077331
310,0.000155,0,0.005242927,-0.002734029,0.0007709
311,0.0001555,0,0.0030701,0.002166712,0.0002565
312,0.000156,0,-0.001118758,0.00524632,0.000387045
313,0.0001565,0,-0.004008175,0.001735548,0.001145971
314,0.000157,0,-0.003681052,-0.005207083,0.001478729
315,0.0001575,0,-0.000994336,-0.007443685,0.000558647
316,0.000158,0,0.001565061,-0.001571719,-0.001144769
317,0.0001585,0,0.002237965,0.006381597,-0.002081214
318,0.000159,0,0.001277377,0.007625561,-0.00104598
319,0.0001595,0,0.000166615,0.000966316,0.001398319
320,0.00016,0,-0.000110576,-0.005733947,0.00296701
321,0.0001605,0,0.000112208,-0.004861824,0.00155965
322,0.000161,0,-8.02E-05,0.0021491,-0.002405284
323,0.0001615,0,-0.000941582,0.006995729,-0.005606138
324,0.000162,0,-0.001721029,0.004573284,-0.0044119
325,0.0001625,0,-0.00148007,-0.001416465,0.00144249
326,0.000163,0,-8.91E-05,-0.003622521,0.007691158
327,0.0001635,0,0.001619237,-5.58E-05,0.008713234
328,0.000164,0,0.002563062,0.003996593,0.002711673
329,0.0001645,0,0.002191816,0.002834693,-0.006007416
